Month,"Monthly Lake Erie Levels 1921 ? 1970,"
May-55,18.767
Jun-55,18.539
Jul-55,18.102
Aug-55,17.818
Sep-55,17.002
Oct-55,16.357
Nov-55,15.56
Dec-55,15.313
Jan-56,14.782
Feb-56,13.719
Mar-56,14.839
Apr-56,15.825
May-56,17.324
Jun-56,17.723
Jul-56,17.685
Aug-56,17.514
Sep-56,16.907
Oct-56,15.863
Nov-56,14.934
Dec-56,14.706
Jan-57,14.383
Feb-57,14.345
Mar-57,14.763
Apr-57,15.958
May-57,16.698
Jun-57,16.793
Jul-57,17.23
Aug-57,16.509
Sep-57,15.787
Oct-57,14.991
Nov-57,14.08
Dec-57,14.326
Jan-58,14.497
Feb-58,13.51
Mar-58,13.662
Apr-58,14.042
May-58,14.269
Jun-58,14.478
Jul-58,14.972
Aug-58,14.972
Sep-58,14.573
Oct-58,13.776
Nov-58,13.017
Dec-58,12.6
Jan-59,12.296
Feb-59,13.131
Mar-59,13.966
Apr-59,15.028
May-59,15.844
Jun-59,15.769
Jul-59,15.237
Aug-59,14.801
Sep-59,14.137
Oct-59,13.89
Nov-59,13.416
Dec-59,13.871
Jan-60,14.478
Feb-60,14.725
Mar-60,14.763
Apr-60,15.806
May-60,16.565
Jun-60,17.097
Jul-60,17.306
Aug-60,17.211
Sep-60,16.717
Oct-60,15.787
Nov-60,14.801
Dec-60,14.231
Jan-61,13.966
Feb-61,14.004
Mar-61,15.313
Apr-61,16.357
May-61,17.742
Jun-61,17.609
Jul-61,17.249
Aug-61,17.078
Sep-61,16.509
Oct-61,15.465
Nov-61,14.706
Dec-61,14.213
Jan-62,13.662
Feb-62,13.928
Mar-62,14.516
Apr-62,15.18
May-62,15.351
Jun-62,15.579
Jul-62,15.446
Aug-62,15.199
Sep-62,14.725
Oct-62,14.383
Nov-62,14.231
Dec-62,13.776
Jan-63,13.15
Feb-63,12.713
Mar-63,13.283
Apr-63,14.478
May-63,14.858
Jun-63,14.782
Jul-63,14.307
Aug-63,14.023
Sep-63,13.529
Oct-63,12.922
Nov-63,12.41
Dec-63,11.936
Jan-64,11.784
Feb-64,11.992
Mar-64,12.619
Apr-64,13.662
May-64,14.231
Jun-64,14.099
Jul-64,13.833
Aug-64,13.416
Sep-64,12.922
Oct-64,11.974
Nov-64,11.461
Dec-64,11.423
Jan-65,11.86
Feb-65,12.163
Mar-65,13.226
Apr-65,13.966
May-65,14.535
Jun-65,14.516
Jul-65,14.231
Aug-65,13.966
Sep-65,13.738
Oct-65,13.226
Nov-65,12.998
Dec-65,13.131
Jan-66,13.7
Feb-66,13.814
Mar-66,14.383
Apr-66,15.047
May-66,15.693
Jun-66,15.844
Jul-66,15.712
Aug-66,15.313
Sep-66,14.763
Oct-66,13.548
Nov-66,13.586
Dec-66,14.516
Jan-67,14.383
Feb-67,14.497
Mar-67,14.744
Apr-67,15.806
May-67,16.527
Jun-67,16.546
Jul-67,16.717
Aug-67,16.433
Sep-67,15.769
Oct-67,15.275
Nov-67,15.123
Dec-67,15.541
Jan-68,15.825
Feb-68,16.376
Mar-68,16.357
Apr-68,16.907
May-68,17.021
Jun-68,17.419
Jul-68,17.533
Aug-68,17.268
Sep-68,16.603
Oct-68,15.825
Nov-68,15.446
Dec-68,15.636
Jan-69,15.693
Feb-69,16.755
Mar-69,16.509
Apr-69,17.723
May-69,18.691
Jun-69,19.127
Jul-69,19.564
Aug-69,19.203
Sep-69,18.216
Oct-69,17.211
Nov-69,16.66
Dec-69,16.831
Jan-70,15.769
Feb-70,15.731
Mar-70,15.996
Apr-70,17.021
May-70,17.552
Jun-70,17.837
Jul-70,17.856
Aug-70,17.571
Sep-70,17.078
Oct-70,16.66
Nov-70,16.433
Dec-70,16.584
,
Monthly Lake Erie Levels 1921 ? 1970,
